,model_a,model_b,winner
0,gpt-35-turbo,gpt-4-turbo,model_b
1,gpt-35-turbo,gpt-4-turbo,model_b
2,gpt-35-turbo,gpt-4-turbo,model_b
3,gpt-4-turbo,gpt-35-turbo,model_a
4,gpt-35-turbo,gpt-4-turbo,model_b
5,gpt-4-turbo,gpt-35-turbo,tie
6,gpt-4-turbo,gpt-35-turbo,model_a
7,gpt-4-turbo,gpt-35-turbo,model_a
8,gpt-4-turbo,gpt-35-turbo,model_a
9,gpt-4-turbo,gpt-35-turbo,model_a
10,gpt-4-turbo,gpt-35-turbo,model_a
11,gpt-35-turbo,gpt-4-turbo,model_b
12,gpt-4-turbo,gpt-35-turbo,model_a
13,gpt-4-turbo,gpt-35-turbo,model_a
14,gpt-35-turbo,gpt-4-turbo,tie
15,gpt-35-turbo,gpt-4-turbo,model_a
16,gpt-35-turbo,gpt-4-turbo,model_b
17,gpt-35-turbo,gpt-4-turbo,model_b
18,gpt-35-turbo,gpt-4-turbo,model_b
19,gpt-35-turbo,gpt-4-turbo,model_b
20,gpt-4-turbo,gpt-35-turbo,tie
21,gpt-4-turbo,gpt-35-turbo,model_a
22,gpt-35-turbo,gpt-4-turbo,model_b
23,gpt-35-turbo,gpt-4-turbo,model_b
24,gpt-4-turbo,gpt-35-turbo,model_a
25,gpt-4-turbo,gpt-35-turbo,model_a
26,gpt-35-turbo,gpt-4-turbo,model_b
27,gpt-4-turbo,gpt-35-turbo,model_a
28,gpt-35-turbo,gpt-4-turbo,model_b
29,gpt-35-turbo,gpt-4-turbo,model_b
30,gpt-4-turbo,gpt-35-turbo,model_a
31,gpt-4-turbo,gpt-35-turbo,model_a
32,gpt-35-turbo,gpt-4-turbo,model_a
33,gpt-35-turbo,gpt-4-turbo,model_a
34,gpt-35-turbo,gpt-4-turbo,model_b
35,gpt-4-turbo,gpt-35-turbo,model_a
36,gpt-4-turbo,gpt-35-turbo,model_a
37,gpt-4-turbo,gpt-35-turbo,model_a
38,gpt-35-turbo,gpt-4-turbo,tie
39,gpt-35-turbo,gpt-4-turbo,model_b
40,gpt-4-turbo,gpt-35-turbo,tie
41,gpt-4-turbo,gpt-35-turbo,model_a
42,gpt-4-turbo,gpt-35-turbo,model_a
43,gpt-35-turbo,gpt-4-turbo,model_b
44,gpt-4-turbo,gpt-35-turbo,model_a
45,gpt-35-turbo,gpt-4-turbo,model_b
46,gpt-4-turbo,gpt-35-turbo,tie
47,gpt-4-turbo,gpt-35-turbo,model_a
48,gpt-4-turbo,gpt-35-turbo,model_a
49,gpt-35-turbo,gpt-4-turbo,model_b
50,gpt-4-turbo,gpt-35-turbo,tie
51,gpt-4-turbo,gpt-35-turbo,model_a
52,gpt-4-turbo,gpt-35-turbo,model_a
53,gpt-4-turbo,gpt-35-turbo,model_a
54,gpt-35-turbo,gpt-4-turbo,model_b
55,gpt-35-turbo,gpt-4-turbo,tie
